https://github.com/common-workflow-language/common-workflow-language/wiki/Existing-Workflow-systems,,,,,,,,,,,workflow,4069,,,,,,,,,,,,,,,
https://github.com/pditommaso/awesome-pipeline,,,,,,,,,,,pipeline,2067,,,,,,,,,,,,,,,
https://github.com/meirwah/awesome-workflow-engines,,,0.00%,1.44%,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,
,,,0,7,,0,,0,2239,,,,,,,,,,,,,,,,,,
Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number:,Name:,Link:,Dead:,Containers required:,Interface:,Commercial:,Backend:,Narrow scope:,Ticket count:,,,,,,,,,,,,,,,,,,
5,Apache Oozie,https://oozie.apache.org/,,,Java,,Hadoop,,0,,,,,,,,,,,,,,,,,,
10,Wings,http://www.wings-workflows.org/,,,Browser,,RDF store,,0,,,,,,,,,,,,,,,,,,
12,make,https://www.gnu.org/software/make/,,,Shell,,Filesystem,,0,"~30k, but not in workflow context",,,,,,,,,,,,,,,,,
19,Luigi Analysis Workflow,https://github.com/riga/law,,1,Python,,Server,,0,,,,,,,,,,,,,,,,,,
26,Couler,https://github.com/couler-proj/couler,,,Python,,Airflow,,0,,,,,,,,,,,,,,,,,,
27,Cosmos2,https://github.com/Mizzou-CBMI/COSMOS2,,,Python,,SQL,,0,,,,,,,,,,,,,,,,,,
30,Chronos,https://github.com/mesos/chronos,,,Browser,,Mesos,,0,,,,,,,,,,,,,,,,,,
31,Azkaban,https://azkaban.github.io/,,,Browser,,SQL,,0,,,,,,,,,,,,,,,,,,
32,Apache NiFi,https://nifi.apache.org/docs/nifi-docs/html/overview.html,,,Browser,,Filesystem,,0,,,,,,,,,,,,,,,,,,
38,bds,https://pcingola.github.io/bds/,,,Shell,,Process,,0,,,,,,,,,,,,,,,,,,
40,Ensembl Hive,https://github.com/Ensembl/ensembl-hive,,,Python,,SQL,,0,,,,,,,,,,,,,,,,,,
45,Cuneiform,https://github.com/joergen7/cuneiform,,,Cuneiform,,Filesystem,,0,,,,,,,,,,,,,,,,,,
49,Pyflow,https://github.com/Illumina/pyflow,,,Python2,,Filesystem,,0,,,,,,,,,,,,,,,,,,
52,CloudSlang,http://www.cloudslang.io/,,,YAML,,,,0,,,,,,,,,,,,,,,,,,
60,qsubsec,https://github.com/alastair-droop/qsubsec,,,Custom,,SGE,,0,,,,,,,,,,,,,,,,,,
62,gwf,https://github.com/gwforg/gwf,,,Python,,Filesystem,,0,,,,,,,,,,,,,,,,,,
70,Noodles,http://nlesc.github.io/noodles/,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
72,Consonance,https://github.com/Consonance/consonance/wiki,,,CWL,,Cloud,,0,,,,,,,,,,,,,,,,,,
74,Produce,https://github.com/texttheater/produce,,,Python,,Process,,0,crosstalk,,,,,,,,,,,,,,,,,
80,SoS Workflow,https://github.com/vatlab/SoS,,,Python,,Jupyter,,0,crosstalk,,,,,,,,,,,,,,,,,
89,Dagman,https://research.cs.wisc.edu/htcondor/dagman/dagman.html,,,Custom,,HTCondor,,0,,,,,,,,,,,,,,,,,,
90,UNICORE,https://www.unicore.eu/docstore/workflow-7.6.0/workflow-manual.html#wf_dialect,,,JSON,,Process,,0,,,,,,,,,,,,,,,,,,
99,BioMake,https://github.com/evoldoers/biomake,,,Prolog,,Process,,0,,,,,,,,,,,,,,,,,,
106,Kepler,https://kepler-project.org/,,,GUI,,Process,,0,,,,,,,,,,,,,,,,,,
108,dgsh,http://www.dmst.aueb.gr/dds/sw/dgsh/,,,Shell,,Process,,0,,,,,,,,,,,,,,,,,,
111,Digdag,https://www.digdag.io/,,,YAML,,Process,,0,,,,,,,,,,,,,,,,,,
116,adage,https://github.com/diana-hep/adage,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
117,HI-WAY,https://github.com/marcbux/Hi-WAY,,,Cuneiform,,Hadoop,,0,,,,,,,,,,,,,,,,,,
122,SBpipe,https://pdp10.github.io/sbpipe/,,,YAML,,Process,,0,,,,,,,,,,,,,,,,,,
126,Roddy,https://github.com/eilslabs/Roddy,,,XML,,Filesystem,,0,,,,,,,,,,,,,,,,,,
132,Ophidia,http://ophidia.cmcc.it/,,,Shell,,Server,,0,,,,,,,,,,,,,,,,,,
133,WebLicht,https://weblicht.sfs.uni-tuebingen.de/,,,Browser,,Cloud,,0,,,,,,,,,,,,,,,,,,
139,Martian,http://martian-lang.org/about/,,,JSON,,Filesystem,,0,,,,,,,,,,,,,,,,,,
151,Skam,http://skam.sourceforge.net/skam-intro.html,,,Prolog,,Process,,0,,,,,,,,,,,,,,,,,,
168,JMS,https://github.com/RUBi-ZA/JMS,,,SQL,,Torque,,0,crosstalk,,,,,,,,,,,,,,,,,
173,SciFlow,https://github.com/kaizhang/SciFlow,,,Haskell,,Server,,0,,,,,,,,,,,,,,,,,,
176,Kapacitor,https://docs.influxdata.com/kapacitor/v1.3/tick/,,,Tickscripts,,InfluxDB,,0,,,,,,,,,,,,,,,,,,
178,Reflow,https://github.com/grailbio/reflow,,,Browser,,Cloud,,0,,,,,,,,,,,,,,,,,,
179,Resolwe,https://github.com/genialis/resolwe,,,CWL,,SQL,,0,,,,,,,,,,,,,,,,,,
184,WopMars,https://github.com/aitgon/wopmars,,,make,,Process,,0,,,,,,,,,,,,,,,,,,
190,NoFlo,https://noflojs.org/,,,JavaScript,,Process,,0,,,,,,,,,,,,,,,,,,
191,Flowstone,http://www.dsprobotics.com/flowstone.html,,,Ruby,,Process,,0,,,,,,,,,,,,,,,,,,
192,HyperLoom,https://code.it4i.cz/ADAS/loom,,,Python,,Server,,0,,,,,,,,,,,,,,,,,,
196,PipelineDog,http://pipeline.dog/,,,Browser,,Server,,0,,,,,,,,,,,,,,,,,,
198,Overseer,https://github.com/framed-data/overseer,,,Clojure,,Datomic,,0,crosstalk,,,,,,,,,,,,,,,,,
200,GC3Pie,https://github.com/uzh/gc3pie,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
201,Fractalide,https://github.com/fractalide/fractalide,,,Rust,,?,,0,,,,,,,,,,,,,,,,,,
203,Askalon,http://www.askalon.org/,,,,,Cloud,,0,,,,,,,,,,,,,,,,,,
204,Eclipse ICE,https://www.eclipse.org/ice,,,IDE,,Process,,0,,,,,,,,,,,,,,,,,,
205,SAW,http://www.sandia.gov/saw/,,,IDE,,,,0,big crosstalk,,,,,,,,,,,,,,,,,
206,dispel4py,https://github.com/dispel4py/dispel4py,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
209,S4M,https://bitbucket.org/uqokorn/s4m_base/wiki/Home,,,Shell,,Process,,0,,,,,,,,,,,,,,,,,,
216,SciApps,https://www.sciapps.org/,,,Browser,,Cloud,,0,,,,,,,,,,,,,,,,,,
223,Pypeline,https://github.com/cgarciae/pypeln,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
231,Argo,https://argoproj.github.io/,,1,,,Kubernetes,,0,,,,,,,,,,,,,,,,,,
237,Xbowflow,https://github.com/ChrisSuess/Project-Xbow/tree/master/xbowflow,,,Python,,Dask,,0,,,,,,,,,,,,,,,,,,
241,CGAT-core,https://github.com/cgat-developers/cgat-core,,,YAML,,Process,,0,,,,,,,,,,,,,,,,,,
243,Apache SCXML,https://commons.apache.org/proper/commons-scxml/guide/core-engine.html,,,XML,,Process,,0,,,,,,,,,,,,,,,,,,
249,Jug,https://jug.readthedocs.io/en/latest/,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
250,Node-RED,https://nodered.org/,,,Browser,,Process,,0,,,,,,,,,,,,,,,,,,
251,Databolt Flow,https://github.com/d6t/d6tflow,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
252,Frictionless Data Package Pipelines,https://github.com/frictionlessdata/datapackage-pipelines,,,YAML,,Process,,0,,,,,,,,,,,,,,,,,,
253,DataFlows,https://github.com/datahq/dataflows,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
255,DataJoint,https://datajoint.io/,,,,,Cloud,,0,,,,,,,,,,,,,,,,,,
261,Kedro,https://github.com/quantumblacklabs/kedro,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
262,DATAVIEW,https://github.com/shiyonglu/DATAVIEW,,,"""Java"",""Browser""",,Cloud,,0,,,,,,,,,,,,,,,,,,
263,SecDATAVIEW,https://github.com/shiyonglu/SecDATAVIEW,,,"""Java"",""Browser""",,Cloud,,0,,,,,,,,,,,,,,,,,,
267,signac,https://signac.io/,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
271,Autosubmit,https://www.bsc.es/research-and-development/software-and-apps/software-list/autosubmit,,,Python,,Process,,0,in lumi presentation,,,,,,,,,,,,,,,,,
272,JUDI,https://github.com/ncbi/JUDI,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
274,Netflix Conductor,https://github.com/Netflix/conductor,,,JSON,,Server,,0,,,,,,,,,,,,,,,,,,
279,Cadence,https://cadenceworkflow.io/,,,"""Java"",""Go"",""Shell""",,SQL,,0,crosstalk,,,,,,,,,,,,,,,,,
290,HyperFlow,https://github.com/hyperflow-wms/,,,JSON,,Redis,,0,,,,,,,,,,,,,,,,,,
292,ApolloWF,https://apollowf.github.io/,,,,,Cloud,,0,,,,,,,,,,,,,,,,,,
294,pyinvoke,https://github.com/pyinvoke/invoke,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
295,targets,https://cran.r-project.org/package=targets,,,R,,Process,,0,so much crosstalk,,,,,,,,,,,,,,,,,
296,Compi,https://github.com/sing-group/compi,,,XML,,Process,,0,crosstalk with a conda line break on compilers,,,,,,,,,,,,,,,,,
298,Google Cloud Workflows,https://cloud.google.com/workflows/docs,,,Browser,,Cloud,,0,,,,,,,,,,,,,,,,,,
302,redun,https://github.com/insitro/redun,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
307,Geoweaver,https://esipfed.github.io/Geoweaver/,,,Browser,,Cloud,,0,,,,,,,,,,,,,,,,,,
310,Task,https://github.com/go-task/task,,,YAML,,Process,,0,mega crosstalk,,,,,,,,,,,,,,,,,
311,pypyr,https://pypyr.io/,,,YAML,,Process,,0,,,,,,,,,,,,,,,,,,
312,Sim2Ls,https://github.com/hubzero/simtool,,,Jupyter,,Filesystem,,0,,,,,,,,,,,,,,,,,,
314,Flyte,https://flyte.org/,,,,,Kubernetes,,0,,,,,,,,,,,,,,,,,,
315,StreamFlow,https://streamflow.di.unito.it/,,1,,,,,0,,,,,,,,,,,,,,,,,,
316,Jupyter Workflow,https://jupyter-workflow.di.unito.it/,,,Jupyter,,StreamFlow,,0,"crosstalk, name too generic",,,,,,,,,,,,,,,,,
317,Nnodes,https://github.com/icui/nnodes,,,Python,,Process,,0,crosstalk with slurm env variable,,,,,,,,,,,,,,,,,
319,Wasmflow,https://github.com/wasmflow/wasmflow,,,Rust,,webassembly,,0,,,,,,,,,,,,,,,,,,
320,HyperShell,https://github.com/glentner/hypershell,,,"""Python"",""Shell""",,"""Process"",""SQL""",,0,,,,,,,,,,,,,,,,,,
323,dwork,https://github.com/frobnitzem/dwork,,,Shell,,Process,,0,,,,,,,,,,,,,,,,,,
324,pmake,https://docs.olcf.ornl.gov/software/workflows/pmake.html#workflows-pmake,,,YAML,,Process,,0,,,,,,,,,,,,,,,,,,
325,Texera,https://github.com/Texera/texera,,,Browser,,Cloud,,0,,,,,,,,,,,,,,,,,,
329,Task Vine,https://ccl.cse.nd.edu/software/taskvine/,,,Python,,Server,,0,,,,,,,,,,,,,,,,,,
331,mkite,https://github.com/mkite-group,,,JSON,,SQL,,0,,,,,,,,,,,,,,,,,,
334,ZnFlow,https://github.com/zincware/ZnFlow,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
336,Kestra,https://github.com/kestra-io/kestra,,,YAML,,Server,,0,,,,,,,,,,,,,,,,,,
338,dflow,https://github.com/deepmodeling/dflow,,,Python,,Argo,,0,,,,,,,,,,,,,,,,,,
339,pydra,https://github.com/nipype/pydra,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
340,funsies,https://github.com/aspuru-guzik-group/funsies,,,Python,,Redis,,0,,,,,,,,,,,,,,,,,,
342,doit,https://github.com/pydoit/doit,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
343,drama,https://github.com/KhaosResearch/drama,,,Python,,Kafka,,0,,,,,,,,,,,,,,,,,,
345,disBatch,https://github.com/flatironinstitute/disBatch,,,Shell,,Process,,0,,,,,,,,,,,,,,,,,,
347,hummingqueue,https://github.com/NablaChem/hummingqueue,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
348,Ewoks,https://ewoks.readthedocs.io/,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
349,DAGonStar,https://github.com/DagOnStar/dagonstar,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
351,Kerblam,https://www.kerblam.dev/,,1,TOML,,Process,,0,,,,,,,,,,,,,,,,,,
353,Maestro,https://github.com/Netflix/maestro,,,REST,,Server,,0,,,,,,,,,,,,,,,,,,
354,ActionChain,https://docs.stackstorm.com/actionchain.html,,,YAML,,Process,,0,,,,,,,,,,,,,,,,,,
357,Briefly,https://github.com/bloomreach/briefly,,,Python,,Process,,0,crosstalk,,,,,,,,,,,,,,,,,
359,Compss,https://www.bsc.es/research-and-development/software-and-apps/software-list/comp-superscalar/downloads,,,"""Java"",""Python"",""C++""",,Process,,0,,,,,,,,,,,,,,,,,,
365,dsub,https://github.com/DataBiosphere/dsub,,1,Shell,,Cloud,,0,,,,,,,,,,,,,,,,,,
366,Fission Workflows,https://github.com/fission/fission-workflows,,1,"""javascript"",""go"",""python"",""php"",""java"","".net"",""perl"",""ruby"",""tensorflow""",,Kubernetes,,0,,,,,,,,,,,,,,,,,,
367,Flex,https://github.com/druths/flex/,,,make,,Process,,0,crosstalk,,,,,,,,,,,,,,,,,
368,Hamilton,https://github.com/dagworks-inc/hamilton,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
369,Hera,https://github.com/argoproj-labs/hera,,,Python,,Argo,,0,,,,,,,,,,,,,,,,,,
372,Koheesio,https://github.com/Nike-Inc/koheesio,,,Python,,Process,,0,,,,,,,,,,,,,,,,,,
